track_id,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time,lat,lon,speed,lon_acc,lat_acc,time
37,37.980011,23.735534,31.759,-0.1613,-0.1155,0.04,37.980005,23.735538,31.7168,-0.1398,-0.1497,0.08,37.980003,23.73554,31.6974,-0.1302,-0.1666,0.12,37.98,23.735542,31.6811,-0.0956,-0.1832,0.16,37.979997,23.735544,31.6717,-0.0358,-0.1995,0.2,37.979994,23.735546,31.6721,0.0418,-0.2157,0.24,37.979991,23.735548,31.6825,0.1028,-0.2317,0.28
38,37.979679,23.735907,40.2222,-0.4382,-0.0977,0.04,37.979673,23.735913,40.0511,-0.7595,-0.1287,0.08,37.979669,23.735915,39.9311,-0.9065,-0.1431,0.12,37.979666,23.735918,39.792,-1.0256,-0.1562,0.16,37.979662,23.735921,39.6378,-1.1166,-0.1681,0.2,37.979659,23.735924,39.4704,-1.2079,-0.1786,0.24,37.979656,23.735926,39.2874,-1.3333,-0.1877,0.28
39,37.979792,23.73581,31.3208,-0.0871,0.0038,0.04,37.979786,23.735814,31.298,-0.0755,0.005,0.08,37.979784,23.735817,31.2875,-0.0703,0.0056,0.12,37.979781,23.735819,31.2787,-0.0516,0.0061,0.16,37.979779,23.735821,31.2736,-0.0194,0.0067,0.2,37.979776,23.735823,31.2738,0.0226,0.0073,0.24,37.979773,23.735825,31.2795,0.0555,0.0078,0.28
40,37.979884,23.735748,30.5834,-0.1087,0.0245,0.04,37.979879,23.735752,30.555,-0.0942,0.0319,0.08,37.979877,23.735754,30.5419,-0.0878,0.0355,0.12,37.979874,23.735757,30.531,-0.0644,0.0392,0.16,37.979871,23.735759,30.5246,-0.0242,0.0429,0.2,37.979869,23.735761,30.5249,0.0282,0.0465,0.24,37.979866,23.735763,30.5319,0.0693,0.0501,0.28
41,37.979132,23.73636,19.2908,-0.1347,-0.0003,0.04,37.979129,23.736362,19.2556,-0.1168,-0.0004,0.08,37.979128,23.736364,19.2394,-0.1088,-0.0004,0.12,37.979126,23.736365,19.2258,-0.0798,-0.0005,0.16,37.979124,23.736366,19.2179,-0.0299,-0.0005,0.2,37.979123,23.736368,19.2183,0.0349,-0.0005,0.24,37.979121,23.736369,19.227,0.0858,-0.0006,0.28
42,37.979702,23.73577,41.0043,0.0288,0.0025,0.04,37.979695,23.735776,41.0125,0.0295,0.0032,0.08,37.979692,23.735778,41.0168,0.0295,0.0036,0.12,37.979689,23.735781,41.0208,0.0264,0.004,0.16,37.979685,23.735784,41.0241,0.0202,0.0044,0.2,37.979682,23.735787,41.0265,0.0122,0.0048,0.24,37.979678,23.73579,41.0278,0.0063,0.0051,0.28
43,37.980172,23.735404,40.1999,0.0442,-0.0001,0.04,37.980165,23.73541,40.2115,0.0383,-0.0002,0.08,37.980162,23.735413,40.2168,0.0357,-0.0002,0.12,37.980159,23.735416,40.2212,0.0262,-0.0002,0.16,37.980156,23.735419,40.2238,0.0098,-0.0002,0.2,37.980152,23.735422,40.2237,-0.0115,-0.0002,0.24,37.980149,23.735425,40.2209,-0.0282,-0.0002,0.28
44,37.980216,23.735386,24.8896,-0.22,-0.0484,0.04,37.980212,23.735389,24.8321,-0.1906,-0.0626,0.08,37.98021,23.735391,24.8056,-0.1776,-0.0695,0.12,37.980207,23.735393,24.7834,-0.1303,-0.0763,0.16,37.980205,23.735394,24.7705,-0.0489,-0.0829,0.2,37.980203,23.735396,24.7711,0.057,-0.0895,0.24,37.980201,23.735398,24.7853,0.1401,-0.096,0.28
45,37.980189,23.73549,28.8933,-0.0355,-0.0998,0.04,37.980184,23.735494,28.8945,0.0355,-0.1302,0.08,37.980182,23.735496,28.9016,0.0625,-0.1454,0.12,37.980179,23.735498,28.9143,0.1149,-0.1607,0.16,37.980177,23.7355,28.9365,0.1926,-0.176,0.2,37.980175,23.735502,28.9716,0.2957,-0.1914,0.24,37.980172,23.735504,29.0215,0.3971,-0.2068,0.28
46,37.980297,23.735322,22.6015,-0.187,0.0228,0.04,37.980293,23.735325,22.5526,-0.1621,0.0295,0.08,37.980291,23.735327,22.5301,-0.151,0.0328,0.12,37.980289,23.735329,22.5112,-0.1108,0.036,0.16,37.980287,23.73533,22.5002,-0.0416,0.0392,0.2,37.980286,23.735332,22.5007,0.0485,0.0423,0.24,37.980284,23.735333,22.5128,0.1192,0.0454,0.28
